127.0.0.1 - - [27/Jun/2023:15:21:12 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [27/Jun/2023:15:21:13 +0530] "GET /EmployeeApprisalForm/ HTTP/1.1" 200 1296
0:0:0:0:0:0:0:1 - - [27/Jun/2023:15:21:13 +0530] "GET /EmployeeApprisalForm/public/styles/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2023:15:21:13 +0530] "GET /EmployeeApprisalForm/public/js/index.js HTTP/1.1" 200 236
0:0:0:0:0:0:0:1 - - [27/Jun/2023:15:21:14 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [27/Jun/2023:15:21:29 +0530] "GET /EmployeeApprisalForm/ HTTP/1.1" 200 1296
0:0:0:0:0:0:0:1 - - [27/Jun/2023:15:21:29 +0530] "GET /EmployeeApprisalForm/public/js/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2023:15:21:29 +0530] "GET /EmployeeApprisalForm/public/styles/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2023:15:21:29 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [27/Jun/2023:15:21:33 +0530] "POST /EmployeeApprisalForm/login.do HTTP/1.1" 200 984
0:0:0:0:0:0:0:1 - - [27/Jun/2023:15:21:33 +0530] "GET /EmployeeApprisalForm/public/js/adminPage.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2023:15:21:33 +0530] "GET /EmployeeApprisalForm/public/styles/adminPage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2023:15:21:37 +0530] "POST /EmployeeApprisalForm/getDetails.do HTTP/1.1" 200 17301
0:0:0:0:0:0:0:1 - - [27/Jun/2023:15:22:03 +0530] "GET /EmployeeApprisalForm//public/js/adminPage.js HTTP/1.1" 200 4707
0:0:0:0:0:0:0:1 - - [27/Jun/2023:15:26:38 +0530] "POST /EmployeeApprisalForm/updateDetails.do HTTP/1.1" 200 17301
0:0:0:0:0:0:0:1 - - [27/Jun/2023:15:28:15 +0530] "POST /EmployeeApprisalForm/login.do HTTP/1.1" 200 984
0:0:0:0:0:0:0:1 - - [27/Jun/2023:15:28:18 +0530] "POST /EmployeeApprisalForm/getDetails.do HTTP/1.1" 200 17309
0:0:0:0:0:0:0:1 - - [27/Jun/2023:15:29:21 +0530] "POST /EmployeeApprisalForm/login.do HTTP/1.1" 200 984
0:0:0:0:0:0:0:1 - - [27/Jun/2023:15:29:24 +0530] "POST /EmployeeApprisalForm/getDetails.do HTTP/1.1" 200 17309
0:0:0:0:0:0:0:1 - - [27/Jun/2023:15:30:37 +0530] "POST /EmployeeApprisalForm/login.do HTTP/1.1" 200 984
0:0:0:0:0:0:0:1 - - [27/Jun/2023:15:30:41 +0530] "POST /EmployeeApprisalForm/getDetails.do HTTP/1.1" 200 17309
0:0:0:0:0:0:0:1 - - [27/Jun/2023:15:30:41 +0530] "POST /EmployeeApprisalForm/getDetails.do HTTP/1.1" 200 17309
0:0:0:0:0:0:0:1 - - [27/Jun/2023:15:33:22 +0530] "POST /EmployeeApprisalForm/login.do HTTP/1.1" 200 984
0:0:0:0:0:0:0:1 - - [27/Jun/2023:15:33:22 +0530] "GET /EmployeeApprisalForm/public/styles/adminPage.css HTTP/1.1" 200 2479
0:0:0:0:0:0:0:1 - - [27/Jun/2023:15:33:22 +0530] "GET /EmployeeApprisalForm/public/js/adminPage.js HTTP/1.1" 200 4707
0:0:0:0:0:0:0:1 - - [27/Jun/2023:15:33:23 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [27/Jun/2023:15:33:26 +0530] "POST /EmployeeApprisalForm/getDetails.do HTTP/1.1" 200 17309
0:0:0:0:0:0:0:1 - - [27/Jun/2023:15:33:56 +0530] "POST /EmployeeApprisalForm/login.do HTTP/1.1" 200 984
0:0:0:0:0:0:0:1 - - [27/Jun/2023:15:33:56 +0530] "GET /EmployeeApprisalForm/public/styles/adminPage.css HTTP/1.1" 200 2494
0:0:0:0:0:0:0:1 - - [27/Jun/2023:15:33:59 +0530] "POST /EmployeeApprisalForm/getDetails.do HTTP/1.1" 200 17309
0:0:0:0:0:0:0:1 - - [27/Jun/2023:15:34:12 +0530] "POST /EmployeeApprisalForm/login.do HTTP/1.1" 200 984
0:0:0:0:0:0:0:1 - - [27/Jun/2023:15:34:12 +0530] "GET /EmployeeApprisalForm/public/styles/adminPage.css HTTP/1.1" 200 2494
0:0:0:0:0:0:0:1 - - [27/Jun/2023:15:34:14 +0530] "POST /EmployeeApprisalForm/getDetails.do HTTP/1.1" 200 17309
0:0:0:0:0:0:0:1 - - [27/Jun/2023:15:35:38 +0530] "POST /EmployeeApprisalForm/login.do HTTP/1.1" 200 984
0:0:0:0:0:0:0:1 - - [27/Jun/2023:15:35:38 +0530] "GET /EmployeeApprisalForm/public/styles/adminPage.css HTTP/1.1" 200 2558
0:0:0:0:0:0:0:1 - - [27/Jun/2023:15:35:40 +0530] "POST /EmployeeApprisalForm/getDetails.do HTTP/1.1" 200 17309
0:0:0:0:0:0:0:1 - - [27/Jun/2023:15:36:15 +0530] "POST /EmployeeApprisalForm/login.do HTTP/1.1" 200 984
0:0:0:0:0:0:0:1 - - [27/Jun/2023:15:36:15 +0530] "GET /EmployeeApprisalForm/public/styles/adminPage.css HTTP/1.1" 200 2561
0:0:0:0:0:0:0:1 - - [27/Jun/2023:15:36:18 +0530] "POST /EmployeeApprisalForm/getDetails.do HTTP/1.1" 200 17309
0:0:0:0:0:0:0:1 - - [27/Jun/2023:15:36:51 +0530] "GET /EmployeeApprisalForm/public/styles/adminPage.css HTTP/1.1" 200 2565
0:0:0:0:0:0:0:1 - - [27/Jun/2023:15:39:06 +0530] "POST /EmployeeApprisalForm/login.do HTTP/1.1" 200 984
0:0:0:0:0:0:0:1 - - [27/Jun/2023:15:39:06 +0530] "GET /EmployeeApprisalForm/public/styles/adminPage.css HTTP/1.1" 200 2599
0:0:0:0:0:0:0:1 - - [27/Jun/2023:15:39:10 +0530] "POST /EmployeeApprisalForm/getDetails.do HTTP/1.1" 200 17309
0:0:0:0:0:0:0:1 - - [27/Jun/2023:15:45:16 +0530] "POST /EmployeeApprisalForm/login.do HTTP/1.1" 200 984
0:0:0:0:0:0:0:1 - - [27/Jun/2023:15:45:16 +0530] "GET /EmployeeApprisalForm/public/styles/adminPage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2023:15:45:20 +0530] "POST /EmployeeApprisalForm/getDetails.do HTTP/1.1" 200 17353
0:0:0:0:0:0:0:1 - - [27/Jun/2023:15:46:11 +0530] "POST /EmployeeApprisalForm/login.do HTTP/1.1" 200 984
0:0:0:0:0:0:0:1 - - [27/Jun/2023:15:46:11 +0530] "GET /EmployeeApprisalForm/public/styles/adminPage.css HTTP/1.1" 200 2620
0:0:0:0:0:0:0:1 - - [27/Jun/2023:15:46:16 +0530] "POST /EmployeeApprisalForm/getDetails.do HTTP/1.1" 200 17348
0:0:0:0:0:0:0:1 - - [27/Jun/2023:15:46:19 +0530] "GET /EmployeeApprisalForm/public/styles/adminPage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2023:15:50:07 +0530] "POST /EmployeeApprisalForm/login.do HTTP/1.1" 200 984
0:0:0:0:0:0:0:1 - - [27/Jun/2023:15:50:08 +0530] "GET /EmployeeApprisalForm/public/styles/adminPage.css HTTP/1.1" 200 2814
0:0:0:0:0:0:0:1 - - [27/Jun/2023:15:50:11 +0530] "POST /EmployeeApprisalForm/getDetails.do HTTP/1.1" 200 17593
0:0:0:0:0:0:0:1 - - [27/Jun/2023:15:50:17 +0530] "POST /EmployeeApprisalForm/getDetails.do HTTP/1.1" 200 17348
0:0:0:0:0:0:0:1 - - [27/Jun/2023:15:51:36 +0530] "POST /EmployeeApprisalForm/login.do HTTP/1.1" 200 984
0:0:0:0:0:0:0:1 - - [27/Jun/2023:15:51:36 +0530] "GET /EmployeeApprisalForm/public/styles/adminPage.css HTTP/1.1" 200 2845
0:0:0:0:0:0:0:1 - - [27/Jun/2023:15:51:41 +0530] "POST /EmployeeApprisalForm/getDetails.do HTTP/1.1" 200 17395
0:0:0:0:0:0:0:1 - - [27/Jun/2023:15:54:12 +0530] "POST /EmployeeApprisalForm/login.do HTTP/1.1" 200 984
0:0:0:0:0:0:0:1 - - [27/Jun/2023:15:54:12 +0530] "GET /EmployeeApprisalForm/public/styles/adminPage.css HTTP/1.1" 200 2981
0:0:0:0:0:0:0:1 - - [27/Jun/2023:15:54:17 +0530] "POST /EmployeeApprisalForm/getDetails.do HTTP/1.1" 200 17431
0:0:0:0:0:0:0:1 - - [27/Jun/2023:15:59:27 +0530] "POST /EmployeeApprisalForm/login.do HTTP/1.1" 200 984
0:0:0:0:0:0:0:1 - - [27/Jun/2023:15:59:27 +0530] "GET /EmployeeApprisalForm/public/styles/adminPage.css HTTP/1.1" 200 3024
0:0:0:0:0:0:0:1 - - [27/Jun/2023:15:59:45 +0530] "POST /EmployeeApprisalForm/login.do HTTP/1.1" 200 984
0:0:0:0:0:0:0:1 - - [27/Jun/2023:15:59:45 +0530] "GET /EmployeeApprisalForm/public/styles/adminPage.css HTTP/1.1" 200 3039
0:0:0:0:0:0:0:1 - - [27/Jun/2023:16:00:08 +0530] "GET /EmployeeApprisalForm/public/styles/adminPage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2023:16:01:32 +0530] "POST /EmployeeApprisalForm/login.do HTTP/1.1" 200 984
0:0:0:0:0:0:0:1 - - [27/Jun/2023:16:01:33 +0530] "GET /EmployeeApprisalForm/public/styles/adminPage.css HTTP/1.1" 200 3013
0:0:0:0:0:0:0:1 - - [27/Jun/2023:16:03:47 +0530] "POST /EmployeeApprisalForm/login.do HTTP/1.1" 200 984
0:0:0:0:0:0:0:1 - - [27/Jun/2023:16:03:47 +0530] "GET /EmployeeApprisalForm/public/styles/adminPage.css HTTP/1.1" 200 3120
0:0:0:0:0:0:0:1 - - [27/Jun/2023:16:04:53 +0530] "POST /EmployeeApprisalForm/login.do HTTP/1.1" 200 984
0:0:0:0:0:0:0:1 - - [27/Jun/2023:16:04:53 +0530] "GET /EmployeeApprisalForm/public/styles/adminPage.css HTTP/1.1" 200 3168
0:0:0:0:0:0:0:1 - - [27/Jun/2023:16:05:33 +0530] "POST /EmployeeApprisalForm/login.do HTTP/1.1" 200 984
0:0:0:0:0:0:0:1 - - [27/Jun/2023:16:05:33 +0530] "GET /EmployeeApprisalForm/public/styles/adminPage.css HTTP/1.1" 200 3196
0:0:0:0:0:0:0:1 - - [27/Jun/2023:16:06:04 +0530] "POST /EmployeeApprisalForm/login.do HTTP/1.1" 200 984
0:0:0:0:0:0:0:1 - - [27/Jun/2023:16:06:04 +0530] "GET /EmployeeApprisalForm/public/styles/adminPage.css HTTP/1.1" 200 3196
0:0:0:0:0:0:0:1 - - [27/Jun/2023:16:06:58 +0530] "POST /EmployeeApprisalForm/login.do HTTP/1.1" 200 984
0:0:0:0:0:0:0:1 - - [27/Jun/2023:16:06:58 +0530] "GET /EmployeeApprisalForm/public/styles/adminPage.css HTTP/1.1" 200 3296
0:0:0:0:0:0:0:1 - - [27/Jun/2023:16:07:10 +0530] "POST /EmployeeApprisalForm/login.do HTTP/1.1" 200 984
0:0:0:0:0:0:0:1 - - [27/Jun/2023:16:07:10 +0530] "GET /EmployeeApprisalForm/public/styles/adminPage.css HTTP/1.1" 200 3296
0:0:0:0:0:0:0:1 - - [27/Jun/2023:16:08:02 +0530] "POST /EmployeeApprisalForm/login.do HTTP/1.1" 200 984
0:0:0:0:0:0:0:1 - - [27/Jun/2023:16:08:02 +0530] "GET /EmployeeApprisalForm/public/styles/adminPage.css HTTP/1.1" 200 3340
0:0:0:0:0:0:0:1 - - [27/Jun/2023:16:08:26 +0530] "POST /EmployeeApprisalForm/login.do HTTP/1.1" 200 984
0:0:0:0:0:0:0:1 - - [27/Jun/2023:16:08:26 +0530] "GET /EmployeeApprisalForm/public/styles/adminPage.css HTTP/1.1" 200 3340
